Job Title,Top Skills
Digital Marketing Specialist,"search engine algorithms and ranking factors keyword research and analysis on-page and off-page seo optimization seo tools (e.g., google analytics, semrush) seo content strategy"
Process Engineer,"industrial engineering process optimization lean manufacturing quality control data analysis workflow design, analytical chemistry laboratory techniques instrumentation data analysis quality control sample preparation scientific software (e.g., solidworks, mechanical engineering cad software (e.g., chemdraw), autocad) finite element analysis product development prototyping, environmental assessments regulatory compliance environmental impact analysis, autocad) aerodynamics structural analysis aircraft systems safety regulations, aerospace engineering cad software (e.g., electrical engineering power system analysis renewable energy systems control systems safety regulations, business systems analysis requirements gathering process improvement, technical seo audits website crawl analysis schema markup xml sitemaps canonicalization, healthcare industry knowledge health data analysis hipaa regulations emr systems"
Data Analyst,"data analysis and visualization tools (e.g., tableau, power bi) sql and database querying business intelligence concepts data modeling and reporting strong analytical and problem-solving skills data-driven decision-making, scikit-learn, machine learning algorithms and libraries (e.g., spark) data visualization strong programming skills (python, hadoop, tensorflow, pytorch) statistical analysis and modeling data preprocessing and cleaning big data technologies (e.g., r), data quality assessment and improvement data profiling and validation knowledge of data quality tools (e.g., informatica, talend) data governance principles sql for data analysis attention to detail and data accuracy"
Legal Assistant,"legal research document drafting case management e-filing legal databases (e.g., lexisnexis) client communication deposition preparation trial support ethics and confidentiality attention to detail communication skills legal software proficiency, corporate legal tasks document drafting compliance corporate governance contract management due diligence entity formation communication with stakeholders attention to detail technology proficiency legal software proficiency legal research skills, legal research discovery management case preparation trial support document review client communication e-filing attention to detail multitasking legal terminology technology proficiency communication skills legal software proficiency"
Project Coordinator,"project planning and scheduling budget management risk assessment and mitigation stakeholder communication agile or waterfall methodologies, training and development performance management learning programs employee engagement coaching and mentoring, intellectual property law trademark and patent law copyright law ip portfolio management litigation and dispute resolution, network administration system and server maintenance cybersecurity knowledge backup and recovery it project management skills, onboarding process management new employee orientation training and development hr policies and procedures employee engagement strategies, art history and knowledge art curation and exhibition planning collections management art market trends cultural awareness"
Network Administrator,"network security protocols intrusion detection and prevention security incident response firewall administration vulnerability assessment security policies and procedures log analysis ethical hacking problem-solving communication skills attention to detail, network infrastructure design routing and switching network protocols (e.g., tcp/ip) cisco or juniper certifications troubleshooting and diagnostics security protocols wireless networking network monitoring collaboration problem-solving attention to detail"
Account Executive,"key account management sales strategy development negotiation and closing skills relationship building industry and market knowledge, sales techniques and strategies relationship building crm software usage product knowledge negotiation and closing skills, sales strategies and tactics account management relationship building sales forecasting industry and product knowledge, sales prospecting and networking face-to-face sales meetings territory management consultative selling relationship building sales tracking and reporting"
UX/UI Designer,"ui design principles and best practices graphic design tools (e.g., adobe photoshop, illustrator) typography and color theory visual design and layout responsive design"
Procurement Specialist,"procurement strategies supplier management negotiation cost analysis supply chain management, inventory control demand forecasting supply chain management data analysis warehouse management, treasury management cash flow analysis risk management financial forecasting banking relations, procurement supplier management negotiation supply chain management inventory control vendor relations, financial management budgeting financial analysis financial reporting risk management financial software (e.g., excel, quickbooks) strategic planning"
Network Engineer,"network management troubleshooting network security it certifications (e.g., ccna), network security cybersecurity intrusion detection security analysis firewall management, cloud systems engineering cloud infrastructure (e.g., aws, azure) devops practices automation security in the cloud disaster recovery scalability, system administration network administration troubleshooting security management server maintenance backup and recovery"
Electrical Designer,"chemical engineering process design chemical reactions safety protocols laboratory techniques problem-solving skills, electrical engineering circuit design electronics autocad proficiency problem-solving, lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge, expertise in a specific subject area knowledge of curriculum standards instructional design assessment development educational technology proficiency, java programming java frameworks (e.g., spring) object-oriented design code debugging software development problem-solving skills"
Nurse Practitioner,"family medicine health assessment pediatric care chronic disease management patient education, pediatric surgery surgical procedures for children operating room protocols patient care surgical techniques pediatric anesthesia, pediatric healthcare pediatric assessment pediatric treatment patient education pediatric pharmacology"
Event Coordinator,event planning and coordination budget management vendor negotiation venue selection and management timeline and logistics planning marketing and promotion risk management client communication creativity problem-solving attention to detail
Research Scientist,"spss, research methodologies and data analysis literature review and synthesis statistical analysis software (e.g., r) research proposal development strong communication and reporting skills, social science research methods qualitative and quantitative data analysis survey design and implementation ethnographic research interviewing skills research ethics statistical software (e.g., stata, nvivo) report writing communication skills critical thinking empathy"
Software Engineer,"proficiency in html, css, and javascript experience with frontend frameworks like react, angular, or vue.js responsive web design cross-browser compatibility version control (e.g., git) frontend performance optimization"
QA Engineer,"quality assurance process improvement team leadership problem-solving quality control, accounting financial reporting financial audits tax compliance accounting software (e.g., sap, oracle) gaap (generally accepted accounting principles), financial reporting accounting software (e.g., quickbooks) auditing gaap knowledge"
Purchasing Agent,"supply chain logistics inventory management communication skills problem-solving vendor coordination, project management communication time management organization problem-solving, inventory management stock control demand forecasting inventory tracking systems supply chain coordination problem-solving skills"
Executive Assistant,"office administration and management budgeting and expense tracking team coordination and supervision facility management vendor and supplier relations, organizational and time management skills calendar and appointment management communication and correspondence travel coordination discretion and confidentiality, event planning and management budgeting and financial management vendor and sponsor relations promotion and publicity event logistics and coordination skills, operations management strategic planning and execution budgeting and financial analysis leadership and team management process improvement and optimization"
Family Lawyer,"child custody law family law legal advocacy negotiation court representation legal research client counseling case preparation, legal counsel legal advice contract negotiation legal research litigation support client representation legal writing regulatory compliance, litigation legal research courtroom representation case preparation client counseling legal writing"
Software Tester,"quality assurance processes testing methodologies (e.g., manual, automated) bug tracking and reporting test case development regression testing"
Administrative Assistant,"calendar management travel coordination meeting scheduling correspondence and communication office organization confidentiality time management problem-solving attention to detail communication skills technology proficiency (e.g., ms office)"
UX/UI Designer,interaction design principles user behavior and psychology wireframing and prototyping tools animation and micro-interaction design collaborative design processes
UX/UI Designer,"user-centered design principles ux/ui design tools (e.g., sketch, adobe xd) wireframing and prototyping usability testing and user research information architecture and user flows"
Quality Assurance Analyst,"test automation frameworks and tools scripting and programming languages (e.g., python, java) continuous integration and continuous testing (ci/ct) test script development and maintenance test environment setup and management"
Software Developer,"java, mobile app development languages (e.g., swift, flutter) mobile app design principles apis and web services integration debugging and troubleshooting, react native, kotlin) cross-platform development (e.g., jwt), api design and development restful api knowledge security protocols (oauth, creative leadership art direction concept development visual design advertising and marketing expertise, wedding design concepts decor selection and arrangement creative flair, autocad civil 3d) roadway design public transportation knowledge, microstation, transportation engineering traffic analysis and planning civil engineering software (e.g., solution design technical architecture cloud computing and software development knowledge, industrial design principles cad and 3d modeling prototyping and testing"
Procurement Manager,procurement processes vendor assessment contract negotiation purchase order management spend analysis market research supplier relationship management data analysis problem-solving attention to detail communication skills financial acumen
Financial Advisor,"retirement planning social security investment products tax planning estate planning, financial planning investment strategy retirement planning tax knowledge"
Software Tester,"test automation tools (e.g., selenium, appium) scripting languages (e.g., python, java) test framework development continuous integration tools test data management, test automation test framework development continuous integration scripting languages (e.g., python) test reporting code review"
Financial Analyst,"financial analysis data analysis financial modeling, business process analysis requirement gathering data analysis communication skills, financial analysis investment evaluation portfolio management data analysis, competitive analysis market research data analysis business strategy industry knowledge, budget planning financial forecasting excel proficiency data analysis"
Administrative Assistant,"data entry accuracy and speed database software (e.g., microsoft access, excel) attention to detail time management organization multitasking keyboarding skills data verification problem-solving communication skills computer proficiency"
Project Coordinator,"construction project management building codes and regulations knowledge budgeting and cost control construction scheduling contractor and subcontractor coordination, quality assurance processes and methodologies quality metrics and kpis audit and compliance team leadership and management continuous improvement initiatives, quality control processes and methodologies statistical process control (spc) root cause analysis and corrective action quality management systems (e.g., iso 9001) compliance and regulatory knowledge"
Veterinarian,"equine veterinary medicine horse anatomy and physiology lameness evaluation equine surgery dentistry for horses emergency equine care equine reproductive health compassion and empathy client communication problem-solving attention to detail, exotic animal medicine exotic animal diagnostics specialized surgical skills avian medicine reptile care amphibian care exotic animal anesthesia compassion and empathy client communication problem-solving attention to detail, veterinary medicine small animal care and surgery animal diagnostics preventive medicine client communication surgical skills radiology anesthesia laboratory diagnostics compassion and empathy problem-solving attention to detail"
Marketing Manager,"digital marketing strategies seo and sem social media marketing email marketing campaigns content marketing web analytics (e.g., google analytics) marketing automation tools (e.g., hubspot, marketo)"
Content Writer,"content strategy content planning seo optimization content marketing analytics, content strategy seo content optimization content marketing keyword mapping analytics, content strategy content creation blog management content promotion seo analytics and reporting"
Event Planner,"event planning vendor coordination budget management marketing and promotion logistics, product branding and marketing product lifecycle management cross-functional team collaboration product launch planning market segmentation and targeting, event planning conference logistics budget management vendor coordination marketing and promotion client relations"
Mechanical Designer,"product design principles prototyping and wireframing user research user testing ui/ux design 3d modeling (if applicable) collaboration problem-solving creativity attention to detail communication skills software proficiency (e.g., sketch, adobe xd)"
Database Administrator,database security measures data encryption and access control security compliance vulnerability assessment database auditing and monitoring
Sales Manager,"sales strategy development territory management sales team leadership, sales management sales strategy development team leadership, account management client relationship sales strategy business development negotiation skills, key account management relationship building sales negotiation"
Marketing Manager,"product positioning and messaging market research and analysis product launch planning competitive analysis marketing collateral creation pricing strategies cross-functional collaboration, brand strategy development market research and analysis competitive analysis brand positioning and messaging creative direction and collaboration"
Customer Support Specialist,customer relationship management onboarding and training customer feedback analysis retention strategies cross-selling and upselling strong communication and empathy customer advocacy
Social Worker,"counseling techniques psychotherapy mental health assessment treatment planning crisis intervention ethical standards empathy and active listening cultural competence documentation communication skills self-care licensing and certification, medical knowledge and clinical skills patient care and assessment communication and empathy, mental health assessment and evaluation psychotherapy techniques cognitive-behavioral therapy (cbt) trauma-informed care crisis intervention substance abuse treatment group therapy cultural competence ethical standards and boundaries active listening skills, school social work principles student assessment and intervention special education laws individualized education plans (ieps) crisis management collaboration with educators family engagement advocacy empathy and communication documentation cultural competence licensing and certification, geriatric assessment and evaluation geriatric-specific occupational therapy techniques aging-related conditions (e.g., dementia, arthritis) fall prevention strategies care coordination with healthcare teams assistive technology for seniors patient advocacy empathy and compassion communication skills"
Social Media Manager,"social media analytics tools (e.g., google analytics, facebook insights) data analysis and reporting social media roi measurement competitive analysis trend identification"
Investment Banker,"mergers and acquisitions (m&a) expertise due diligence valuation techniques, enterprise architecture business strategy alignment it governance and compliance, usability evaluation user interface assessment usability testing tools and techniques, avionics systems electronic warfare systems radar systems aircraft communication systems system integration testing and validation, creative writing copywriting advertising copy content creation brand storytelling marketing campaigns proofreading and editing, customer support team leadership customer satisfaction issue resolution performance metrics training and development, it systems analysis troubleshooting it support and documentation, architectural drafting autocad 2d and 3d modeling blueprint reading building codes collaboration with architects detail-oriented"
Front-End Developer,"web accessibility standards (e.g., wcag) assistive technologies accessibility testing tools html and css for accessibility aria (accessible rich internet applications) user experience (ux) for accessibility usability testing with individuals with disabilities collaboration attention to detail"
Accountant,tax preparation tax planning tax regulations accounting tax software proficiency
Brand Manager,"marketing analytics data analysis tools (e.g., google analytics, adobe analytics) brand performance measurement consumer behavior analysis campaign effectiveness evaluation"
Data Scientist,"data integration etl (extract, transform, hadoop, load) big data technologies (e.g., spark) database management data warehousing, data architecture design database management systems data modeling"
Substance Abuse Counselor,"family counseling marriage and family therapy conflict resolution skills, agile product development scrum or kanban frameworks backlog management user story writing prioritization techniques collaboration with development teams product vision and strategy, writing skills content creation seo knowledge research skills grammar and proofreading, school psychology special education knowledge assessment and testing individualized education plans collaboration skills, partnership development negotiation and collaboration business development, nursing education curriculum development clinical instruction assessment and evaluation educational technology communication skills, frontend and backend development database integration problem-solving api knowledge, brand strategy development brand identity and design brand storytelling marketing campaigns brand performance measurement creative thinking strong communication skills, dental hygiene knowledge teaching and instructional skills curriculum development student assessment clinical practice experience"
Graphic Designer,"graphic design tools (e.g., adobe creative suite) web design principles user interface (ui) design visual communication typography creativity and artistic skills"
Email Marketing Specialist,"email marketing strategies email marketing platforms (e.g., mailchimp, hubspot) audience segmentation a/b testing campaign analytics copywriting html/css for email marketing automation communication skills data analysis attention to detail"
Research Analyst,"data analysis techniques research methodologies data collection and interpretation statistical analysis software (e.g., r, python) data visualization tools (e.g., tableau, power bi) research report writing critical thinking problem-solving communication skills attention to detail"
Procurement Manager,supplier diversity programs diversity and inclusion initiatives supplier assessment and certification data collection and reporting vendor outreach and engagement strategic planning communication skills relationship building attention to diversity and inclusion principles
Research Scientist,data collection and analysis market research tools and techniques survey design and analysis qualitative and quantitative research methods report writing and presentation skills
Product Manager,product management principles technical background agile development methodologies product roadmap planning market research and analysis stakeholder communication problem-solving skills
Chemical Engineer,"quality control processes quality assurance standards (e.g., iso) statistical analysis inspection techniques documenting quality issues root cause analysis communication with production teams problem-solving attention to detail technical knowledge, process optimization manufacturing processes lean six sigma methodologies data analysis statistical process control quality management root cause analysis collaboration problem-solving attention to detail technical knowledge"
Business Analyst,"data analysis data modeling data visualization sql data tools (e.g., tableau)"
Legal Counsel,employment law and regulations employment contracts and agreements workplace discrimination and harassment laws legal compliance client representation and advocacy
Network Engineer,network security protocols and technologies firewalls and intrusion detection systems vulnerability assessment and penetration testing security policy development and enforcement incident response and recovery
IT Support Specialist,"technical troubleshooting customer service and communication ticketing system usage basic it knowledge problem-solving and critical-thinking skills, help desk support ticket resolution it troubleshooting customer service skills technical knowledge documentation and knowledge base maintenance communication and interpersonal skills"
UI Developer,"front-end web development html, css, javascript responsive design web performance optimization cross-browser compatibility"
Event Planner,"wedding planning venue selection catering and menu planning floral and decor design wedding etiquette, residential interior design space planning color theory and selection furniture and materials selection 3d modeling and rendering, urban design and planning zoning regulations gis and mapping tools"
Urban Planner,"investment strategies portfolio management financial planning risk assessment regulatory compliance, transportation planning traffic engineering gis proficiency public transportation project management, interior design space planning color theory material selection cad software (e.g., sketchup) client collaboration budget management, corporate event planning corporate branding corporate communication audiovisual equipment crisis management, art instruction classroom management art techniques lesson planning student assessment, financial planning investment strategies team leadership wealth management client advisory skills, landscape architecture site planning plant selection environmental sustainability autocad project management, urban planning zoning regulations environmental planning gis proficiency community engagement, wedding planning vendor coordination event management, environmental regulations ecosystem analysis environmental impact assessments sustainability planning project management"
Paralegal,"real estate transactions title searches closing processes deed preparation contract review communication with real estate professionals attention to detail real estate terminology technology proficiency legal software proficiency legal research skills, legal research document drafting communication skills legal software proficiency attention to detail"
Social Media Coordinator,"content creation (e.g., writing, editing, graphic design, video production) content marketing social media management seo optimization creative storytelling audience engagement analytics and reporting adaptability communication skills creativity"
Project Manager,"project management team leadership risk management budgeting communication skills, negotiation skills vendor management supply chain knowledge contract management analytical skills, administrative leadership office management staff supervision budgeting and financial management process improvement communication skills, office administration calendar management reception duties communication skills record keeping office supplies management"
Physical Therapist,"acute care nursing emergency medicine critical care diagnostic tests treatment planning, geriatric healthcare geriatric assessment geriatric treatment elderly patient care geriatric pharmacology, nursing care patient assessment health promotion medication administration electronic health records (ehr), geriatric rehabilitation fall prevention elderly patient care, pediatric rehabilitation developmental assessments child psychology knowledge, nursing care patient assessment medical knowledge, orthopedic assessment and treatment rehabilitation exercises patient education"
SEO Specialist,"search engine optimization keyword research seo tools (e.g., google analytics, semrush) on-page and off-page optimization, seo (search engine optimization) keyword research seo-friendly content on-page optimization meta tags seo tools (e.g., semrush)"
Legal Assistant,"ms office), legal administrative tasks document management calendar and docketing transcription file organization communication with clients and courts knowledge of legal terminology attention to detail multitasking computer skills (e.g., relativity) data analysis case management communication with legal teams technical proficiency attention to detail problem-solving legal research skills, e-discovery tools and processes document review and production litigation support software (e.g."
Sales Representative,"sales prospecting and lead generation sales presentation and communication crm software (e.g., salesforce) sales negotiation and closing techniques product knowledge relationship building"
Electrical Engineer,"sustainable design principles energy efficiency leed certification green building materials environmental impact assessment, sustainable landscape design native plant selection water conservation soil health green building practices leed certification, user experience strategy user journey mapping design thinking, control system design plc programming automation instrumentation system integration, electronics design pcb layout embedded systems circuit analysis troubleshooting"
IT Manager,strategic it planning leadership and management budgeting and financial management it governance and compliance vendor management cybersecurity and risk management project management cloud computing network infrastructure enterprise software systems
Quality Assurance Analyst,"test planning and strategy test case design and execution defect reporting and tracking test automation tools (e.g., selenium, appium) regression testing"
Market Research Analyst,"market research methodologies data collection and analysis industry knowledge, research methodology data analysis psychological studies writing research reports critical thinking, environmental impact analysis data collection and analysis environmental regulations reporting gis (geographic information systems) technical writing, market research coordination survey design and administration data analysis, user research methods usability testing data analysis and interpretation"
QA Analyst,"software quality assurance test planning test case design test execution defect tracking test automation (e.g., selenium)"
Pediatrician,"pediatric specialization advanced pediatric care pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) pediatric diagnostics pediatric treatment"
Digital Marketing Specialist,"email marketing platforms (e.g., mailchimp, constant contact) email campaign creation and segmentation a/b testing and optimization email deliverability and compliance metrics tracking and analysis"
Supply Chain Manager,"supply chain management inventory control transportation logistics vendor relations team leadership and management, facilities management property maintenance space planning budget management health and safety compliance vendor management, wealth management strategies asset allocation estate planning tax management client relationship management"
Financial Planner,tax planning strategies tax law knowledge financial analysis retirement planning estate planning client relationship management tax optimization communication skills attention to detail tax software proficiency regulatory compliance
Mechanical Engineer,manufacturing processes knowledge cad/cam software proficiency lean manufacturing principles quality control and assurance six sigma certification
Email Marketing Specialist,"email deliverability best practices spam filter testing list hygiene blacklist monitoring email authentication (e.g., spf, dkim) deliverability metrics analysis troubleshooting deliverability issues communication skills data analysis attention to detail"
Network Administrator,"system administration server maintenance active directory backup and recovery cloud computing (e.g., aws, azure) troubleshooting it security best practices collaboration problem-solving attention to detail communication skills technical knowledge"
Systems Administrator,"technical troubleshooting hardware and software support customer service problem-solving communication, technical troubleshooting customer support tools (e.g., zendesk, freshdesk) communication skills problem-solving and critical thinking ticket management knowledge base creation, windows, desktop hardware and software troubleshooting operating system expertise (e.g., macos) remote desktop support hardware and software upgrades customer service skills, network troubleshooting it support network configuration technical knowledge problem-solving"
Email Marketing Specialist,"marketing automation platforms (e.g., marketo, pardot) lead nurturing workflow automation crm integration analytics and reporting email marketing campaign optimization marketing strategy communication skills problem-solving attention to detail, digital marketing strategies analytics and reporting seo and sem social media marketing email marketing data interpretation marketing automation tools a/b testing communication skills problem-solving attention to detail marketing knowledge"
Marketing Coordinator,market research and analysis content creation and copywriting social media management seo and digital marketing marketing automation tools proficiency
Account Manager,"client relationship management customer service communication skills, crisis communication planning crisis response media relations reputation management stakeholder communication, financial planning investment knowledge relationship management communication skills analytical skills"
Front-End Engineer,"ui/ux design frontend web development wireframing and prototyping user research accessibility standards responsive design collaboration skills, frontend web development html/css responsive design user interface (ui) design adobe creative suite collaboration skills"
Systems Administrator,"database management systems (e.g., mysql, oracle, sql server) data security database tuning and optimization backup and recovery"
HR Coordinator,"employee benefits administration benefits compliance hris benefits communication, nursing leadership charge nurse responsibilities team coordination, jira), agile methodologies scrum or kanban team collaboration agile tools (e.g., talent sourcing interviewing onboarding recruitment strategies hr software, addiction counseling techniques substance abuse treatment counseling ethics, azure, cloud computing platforms (aws, kubernetes), etc.) cloud security containerization (docker, live chat support online customer communication problem resolution, media relations press releases media outreach crisis communication public relations strategies, sustainability consulting sustainability assessments sustainable practices green building standards environmental policies client communication, recruitment process candidate screening applicant tracking systems communication, environmental compliance regulatory requirements environmental impact assessments reporting environmental regulations auditing, addiction recovery support motivational interviewing relapse prevention strategies"
Investment Analyst,"investment management financial analysis risk assessment asset allocation portfolio optimization, supply chain analysis data analytics inventory management transportation planning problem-solving, sourcing strategies supplier evaluation market research cost analysis contract negotiation, search engine marketing (sem) google ads bing ads keyword analysis ad performance analysis sem strategy development bid management, risk assessment data analysis financial modeling risk management tools regulatory compliance knowledge, investment analysis portfolio management risk assessment, accounting principles financial reporting team management budgeting financial analysis, bridge design civil engineering structural analysis autocad proficiency project management, procurement processes purchase order management vendor communication data analysis inventory control"
Data Entry Clerk,"water resources engineering hydrology and hydraulics environmental impact assessment water resource modeling software watershed management, office management administrative tasks communication and organization, emergency medical care triage and assessment trauma management, corporate law compliance mergers and acquisitions corporate governance contract drafting risk management legal strategy due diligence, periodontal therapy procedures patient care and communication dental instrumentation periodontal disease management oral health education, records management data entry and retrieval attention to detail, surgical procedures and techniques operating room protocols anesthesia management"
Legal Secretary,"knowledge of court procedures legal document management attention to detail computer literacy organization skills, document management recordkeeping attention to detail data entry organizational skills"
Brand Ambassador,"brand promotion marketing knowledge communication skills sales techniques product knowledge, mediation conflict resolution negotiation communication skills neutrality problem-solving legal knowledge mediation techniques, engineering design cad software proficiency problem-solving technical knowledge communication skills"
Event Coordinator,wedding planning vendor coordination ceremony and reception logistics wedding etiquette budget management timeline planning attention to detail client communication creativity problem-solving emotional intelligence event design
IT Manager,"network administration system administration virtualization technologies (e.g., vmware, hyper-v) storage management it security disaster recovery planning capacity planning monitoring and troubleshooting cloud infrastructure (e.g., aws, azure) vendor management"
Tax Consultant,"business tax law knowledge corporate tax planning tax compliance for businesses tax credits and incentives tax strategy development financial analysis irs regulations client relationship management communication skills tax software proficiency, international tax law knowledge transfer pricing cross-border tax planning tax treaties and agreements foreign tax credits international tax compliance transfer pricing documentation multinational tax strategies client relationship management communication skills tax software proficiency"
Database Administrator,"database design and development sql and database querying data modeling programming languages (e.g., java, python) data security and privacy regulations knowledge"
Project Coordinator,"office administration communication skills organizational skills time management microsoft office proficiency, administrative support calendar management communication skills time management organizational skills confidentiality, employment law knowledge compliance management auditing skills employee relations communication skills"
Chemical Engineer,research and development processes product innovation prototype development testing and experimentation data analysis collaboration with cross-functional teams problem-solving attention to detail technical expertise project management skills
Sales Representative,sales strategy and planning account management customer relationship management solution selling sales forecasting contract negotiation sales metrics and reporting
Front-End Developer,"user interface (ui) design user experience (ux) design web design principles prototyping and wireframing front-end development languages (e.g., html, css, javascript) interaction design user testing responsive design usability testing collaboration attention to detail"
Customer Success Manager,"customer service problem-solving communication skills ticketing system usage product knowledge, customer service call center operations problem-solving skills, product knowledge demonstrating skills sales techniques customer engagement communication skills, customer service sales techniques product knowledge cash handling communication skills"
Database Administrator,"data analysis database querying and reporting data visualization sql proficiency data quality assurance, big data technologies (hadoop, spark, etc.) data processing and analysis distributed computing"
Software Tester,"performance testing methodologies load testing tools (e.g., jmeter) test script development performance profiling and analysis bottleneck identification, performance testing load testing stress testing test scenarios performance monitoring benchmarking performance analysis"
Social Media Manager,social media marketing strategy development content planning and creation social media advertising and targeting data-driven decision-making social media trends and platform updates
Pediatrician,"pediatrics pediatric care diagnosis and treatment pediatric medical procedures patient care communication skills, pediatric assessment and evaluation occupational therapy techniques for children developmental milestones sensory integration therapy pediatric psychology family-centered care individualized treatment plans communication skills pediatric healthcare knowledge"
SEO Analyst,seo (search engine optimization) content strategy keyword research content optimization content planning analytics and reporting
Pharmaceutical Sales Representative,medical product knowledge understanding of healthcare regulations relationship building with healthcare professionals sales forecasting and planning medical sales techniques
Social Worker,"child welfare policies and regulations child protective services child development crisis intervention case management cultural competence interviewing and assessment skills court procedures documentation empathy communication skills, clinical psychology counseling skills assessment tools diagnostic skills empathy and listening skills"
Customer Service Manager,customer experience strategy customer journey mapping feedback analysis user research metrics and kpis communication skills
Social Media Manager,community engagement and moderation online community-building strategies content curation and creation crisis management and conflict resolution analytics and reporting
Network Security Specialist,"soc operations security incident response threat detection log analysis security tools (e.g., ids/ips) security alerts triage, security consulting risk assessment security audits security policy development penetration testing client communication, cybersecurity security assessments intrusion detection security tools (e.g., siem) incident response vulnerability scanning, wireshark) troubleshooting capacity planning data analysis network protocols, network performance analysis network monitoring tools (e.g."
Database Developer,"nosql databases (e.g., mongodb, cassandra) data modeling data migration performance tuning scalability distributed systems, systems integration integration architecture data mapping middleware technologies api integration system testing troubleshooting, etl (extract, transform, load) processes data integration sql and scripting languages, machine learning algorithms python programming data preprocessing deep learning model evaluation"
Litigation Attorney,"family law divorce proceedings child custody mediation legal counseling court representation, in-house counsel legal advisory employment law intellectual property regulatory compliance dispute resolution contract review client counseling, corporate law commercial litigation dispute resolution contract law legal strategy negotiation"
Network Engineer,wireless network design and architecture wi-fi standards and protocols rf (radio frequency) planning and optimization wireless security protocols troubleshooting wireless network issues
Account Manager,"account management sales strategy negotiation and closing skills, account management customer relationship management sales and negotiation business development client needs analysis, sales leadership team management sales strategy and planning"
